PolicyNumber,EffectiveDate,ExpirationDate,Term,InsuredCustomerNumber,InsuredCompanyName,WrittenPremiumAmount,LineOfBusiness,LineOfBusinessCode,NewOrRenewal,InsuredIndustry,InsuredSector,DistributionChannel,InsuredEIN,InsuredCity,InsuredStateCode,InsuredContactCellPhone,InsuredContactEmail,InsuredNumberOfEmployees,InsuredEmployeeTier,InsuredAnnualRevenue,ProducerProfitCenterID,Territory,ProducerCode,AgentName,GenerationDate
3075123,2022-03-17,2023-03-17,12,4819910,Envisioneer Turn-Key Mindshare,117000.00,Worker's Comp,WC,Renewal,Nonalcoholic Beverages,Consumer Non Cyclical,Agent Email Not-ACORD,91-0413178,St. Louis,MO,977-026-5256,luisjones@gmail.com,300,2,157416000,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
6757187,2022-03-01,2023-03-01,12,6961407,Aggregate Value-Added Deliverables,207500.00,Worker's Comp,WC,New,Office Supplies,Consumer Non Cyclical,Agent Email Not-ACORD,98-0407600,Dearborn,MI,656-345-1551,qperry@gmail.com,830,3,272139570,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
9914578,2022-03-12,2023-03-12,12,2342370,E-Enable Compelling E-Tailers,390400.00,Worker's Comp,WC,Renewal,Security & Armored Car Services,Transportation,Agent Email Not-ACORD,99-4144117,Jackson,MS,266-844-5924,benitezbrittany@moran-lee.org,610,3,97921470,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
8465050,2022-03-14,2023-03-14,12,3056955,Empower B2C Partnerships,197600.00,Commercial Auto,AUTO,Renewal,Environmental Services,Services,Agent Email Not-ACORD,93-0547547,Boston,MA,981-180-4687,denisefleming@bradley.com,304,2,122482512,34312,Northeast,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
1055603,2022-03-08,2023-03-08,12,5833094,Seize Compelling Convergence,4320.00,Commercial Auto,AUTO,Renewal,Grocery Stores,Retail,Agent Email Not-ACORD,91-2841041,Dover,DE,357-776-2686,ypeck@yahoo.com,18,1,12821616,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
375610,2022-03-05,2023-03-05,12,1308363,Re-Intermediate Granular Convergence,10800.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Agent Portal,99-7597936,Tucson,AZ,489-891-8437,aaronrussell@castillo-robertson.net,45,1,32054040,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
1060423,2022-03-10,2023-03-10,12,6822433,Cultivate B2B Web-Readiness,327600.00,Worker's Comp,WC,Renewal,Home Improvement,Construction,Agent Email ACORD,94-4284804,Louisville,KY,269-003-3398,cameron56@gmail.com,819,3,325494351,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
8275114,2022-03-11,2023-03-11,12,9730780,Matrix Interactive Markets,60230.00,Worker's Comp,WC,New,Regional Banks,Financial,Agent Email Not-ACORD,98-5630934,Honolulu,HI,083-940-2509,wbradshaw@davis.com,317,2,165148441,25859,West,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
3122728,2022-03-19,2023-03-19,12,7632489,Expedite Leading-Edge Markets,140360.00,Worker's Comp,WC,Renewal,Specialty Retail,Retail,Agent Portal,92-3119812,North Charleston,SC,559-044-0415,christopher14@gmail.com,484,2,278400672,89148,Southeast,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
9310325,2022-03-05,2023-03-05,12,7218097,Scale Clicks-And-Mortar Web-Readiness,1600.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Agent Portal,99-3904462,Indianapolis,IN,575-097-3951,hillcourtney@yahoo.com,16,1,5246064,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
2666214,2022-03-11,2023-03-11,12,3404117,Incubate Interactive E-Commerce,73170.00,Worker's Comp,WC,New,Restaurants,Services,Agent Email Not-ACORD,94-3268261,Columbia,MO,523-867-3300,karen54@yahoo.com,271,2,48606560,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
4370530,2022-03-11,2023-03-11,12,2360999,Generate Robust Initiatives,82950.00,Worker's Comp,WC,Renewal,Technology Retail,Retail,Agent Portal,90-8181906,Montgomery,AL,611-159-1323,brownrhonda@hotmail.com,237,2,167514918,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
3693109,2022-03-03,2023-03-03,12,2290348,Embrace Dynamic Partnerships,174240.00,Commercial Auto,AUTO,Renewal,Forestry & Wood Products,Construction,Agent Email ACORD,99-1730706,Cincinnati,OH,054-566-7096,karen87@hotmail.com,792,3,760429296,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
2289437,2022-03-13,2023-03-13,12,4172503,Deliver Global Partnerships,210720.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Agent Email ACORD,99-6360476,West Valley City,UT,500-041-5182,sthompson@yahoo.com,878,3,625409936,89148,West,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
8687420,2022-03-10,2023-03-10,12,9531002,Target Out-Of-The-Box Relationships,173400.00,Commercial Auto,AUTO,Renewal,Agricultural Production,Consumer Non Cyclical,Agent Portal,91-2471429,Fargo,ND,522-453-5624,rothcody@hotmail.com,289,2,354119792,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
6509353,2022-03-18,2023-03-18,12,3727170,Optimize Robust Deliverables,98600.00,Worker's Comp,WC,Renewal,Real Estate Operations,Services,Agent Email Not-ACORD,92-6215215,Milwaukee,WI,621-991-8858,johnsontodd@pierce-howe.com,170,2,245519780,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
5664005,2022-03-26,2023-03-26,12,8185430,Synergize Intuitive Mindshare,96600.00,Commercial Auto,AUTO,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Direct Voice,90-6353670,Philadelphia,PA,689-616-5250,arnoldbrenda@moyer.com,966,3,3709036212,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
1685077,2022-03-14,2023-03-14,12,8578836,Orchestrate 24/365 Convergence,96960.00,Worker's Comp,WC,Renewal,Insurance Brokerage,Financial,Agent Email Not-ACORD,98-1757076,Fargo,ND,493-072-3524,crystal38@williams.com,404,2,163806244,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
9430535,2022-03-25,2023-03-25,12,3481205,Engage B2C Supply-Chains,12200.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Agent Portal,90-2887116,Omaha,NE,726-150-8503,martinezeric@hale-freeman.net,61,1,47485816,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
6023234,2022-03-17,2023-03-17,12,3828921,Streamline Seamless Web-Readiness,17400.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Agent Portal,98-2110520,Sioux Falls,SD,582-661-0375,mhenderson@sherman.com,87,1,67725672,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
8491211,2022-03-20,2023-03-20,12,6374785,Disintermediate One-To-One Networks,1300.00,Commercial Auto,AUTO,Renewal,Advertising,Services,Direct Portal,93-7259959,Columbus,OH,560-281-7133,xwest@gmail.com,13,1,4055389,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
4606868,2022-03-16,2023-03-16,12,4107991,Innovate Proactive Action-Items,525480.00,Worker's Comp,WC,New,"Internet, Mail Order & Online Shops",Retail,Agent Portal,94-1017132,Columbia,SC,176-597-5465,halljamie@warner.net,906,3,529265268,31793,Southeast,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7711980,2022-03-09,2023-03-09,12,1372280,Architect Holistic E-Markets,146000.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Agent Email Not-ACORD,91-2494233,Raleigh,NC,473-429-8693,andersonkim@pittman-sanchez.com,730,3,568272880,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
4218502,2022-03-30,2023-03-30,12,4315721,Deliver Cutting-Edge Vortals,235560.00,Worker's Comp,WC,New,Professional Services,Services,Agent Email ACORD,93-6616975,Augusta,ME,156-768-0226,kanthony@sullivan.com,302,2,134403590,31793,Northeast,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7337610,2022-03-08,2023-03-08,12,1208721,Incentivize Magnetic Eyeballs,116880.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Direct Portal,90-2814726,Indianapolis,IN,161-587-5392,qthompson@richardson.biz,487,2,346895944,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7659244,2022-03-27,2023-03-27,12,9985576,Disintermediate Out-Of-The-Box Experiences,173040.00,Worker's Comp,WC,Renewal,Department & Discount Retail,Retail,Agent Email ACORD,95-5329266,Chicago,IL,446-441-0792,christopherdrake@gmail.com,721,3,172866239,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
8998352,2022-03-26,2023-03-26,12,7799393,Re-Contextualize Turn-Key Channels,245000.00,Worker's Comp,WC,Renewal,Investment Services,Financial,Agent Email Not-ACORD,99-6373534,Manchester,NH,704-206-4602,uhoffman@gmail.com,980,3,1153266940,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
4702412,2022-03-21,2023-03-21,12,8451268,Monetize Cutting-Edge Supply-Chains,12000.00,Commercial Auto,AUTO,New,Real Estate Operations,Services,Direct Portal,99-1046358,Dover,DE,622-866-6140,timothy13@gmail.com,15,1,21663510,64599,Northeast,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
9807581,2022-03-05,2023-03-05,12,2220845,Envisioneer Extensible Convergence,18600.00,Commercial Auto,AUTO,Renewal,Department & Discount Retail,Retail,Agent Email Not-ACORD,91-3773678,Jacksonville,FL,735-181-5954,finleyseth@wu.com,186,2,44595174,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
9599893,2022-03-28,2023-03-28,12,3030422,Brand Holistic Models,452400.00,Worker's Comp,WC,Renewal,Automotive Aftermarket,Retail,Agent Email Not-ACORD,98-2280295,Saint Paul,MN,566-316-3892,hansenjack@gmail.com,780,3,607195680,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5591501,2022-03-09,2023-03-09,12,6198906,Target Best-Of-Breed Synergies,37800.00,Commercial Auto,AUTO,New,Alcoholic Beverages,Consumer Non Cyclical,Direct Voice,93-3896237,Atlanta,GA,736-023-0417,donaldschneider@morrison.biz,378,2,1451361996,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5121222,2022-03-15,2023-03-15,12,2477597,Facilitate Distributed E-Services,294000.00,Commercial Auto,AUTO,New,Wholesale,Retail,Agent Portal,91-4668271,Dayton,OH,113-221-9027,maryjones@yahoo.com,300,2,284699400,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
9982155,2022-03-28,2023-03-28,12,3907223,Incubate Innovative Interfaces,8600.00,Commercial Auto,AUTO,New,Software & Programming,Services,Agent Portal,94-3955521,Dallas,TX,253-423-1985,acunningham@gmail.com,86,1,37022484,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
9147585,2022-03-03,2023-03-03,12,1997291,Utilize 24/365 E-Tailers,375600.00,Worker's Comp,WC,Renewal,Home Improvement,Construction,Agent Email ACORD,99-7025879,West Valley City,UT,679-825-8000,grayrhonda@hotmail.com,939,3,373185831,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
2097286,2022-03-29,2023-03-29,12,4103448,Unleash Back-End Systems,24500.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Direct Voice,93-2450464,Stamford,CT,993-567-0293,hbell@gmail.com,245,2,80330355,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
3216315,2022-03-11,2023-03-11,12,9065759,Synthesize Interactive Applications,73700.00,Commercial Auto,AUTO,Renewal,Software & Programming,Services,Direct Voice,99-1157074,Anchorage,AK,091-820-6883,adam82@cook.net,737,3,317274078,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
6816793,2022-03-19,2023-03-19,12,5044647,Maximize Front-End Mindshare,118580.00,Commercial Auto,AUTO,New,Wholesale,Retail,Agent Email Not-ACORD,90-6813073,Phoenix,AZ,158-462-3776,melissa80@hotmail.com,121,2,114828758,89148,West,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
9559948,2022-03-02,2023-03-02,12,9850909,Benchmark Proactive E-Tailers,3800.00,Commercial Auto,AUTO,Renewal,Department & Discount Retail,Retail,Agent Portal,94-7386699,Little Rock,AR,518-682-8302,dennis72@holt.com,38,1,9110842,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
8963041,2022-03-02,2023-03-02,12,2680066,Deliver Scalable E-Services,107580.00,Commercial Auto,AUTO,Renewal,Restaurants,Services,Agent Portal,90-4116001,Dover,DE,062-684-0830,melissajackson@wolfe.net,489,2,87707040,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
6782489,2022-03-30,2023-03-30,12,1762311,Architect Intuitive Channels,22040.00,Worker's Comp,WC,New,"Internet, Mail Order & Online Shops",Retail,Agent Email Not-ACORD,98-9890327,Augusta,ME,643-324-3997,jared65@johnson.com,38,1,22198764,83896,Northeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
2383900,2022-03-07,2023-03-07,12,6294551,Aggregate Transparent Convergence,28160.00,Commercial Auto,AUTO,Renewal,Restaurants,Services,Direct Voice,90-5532760,Meridian,ID,128-727-0212,vincentnelson@gmail.com,128,2,22958080,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
1516882,2022-03-06,2023-03-06,12,2463828,Unleash Virtual Markets,214020.00,Worker's Comp,WC,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Email Not-ACORD,90-0494492,Chicago,IL,598-329-1461,katherineduffy@johnson.net,369,2,215561682,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
463983,2022-03-21,2023-03-21,12,2463828,Unleash Virtual Markets,36900.00,Commercial Auto,AUTO,New,"Internet, Mail Order & Online Shops",Retail,Direct Voice,90-0494492,Chicago,IL,598-329-1461,katherineduffy@johnson.net,369,2,215561682,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
6298105,2022-03-28,2023-03-28,12,2012809,Engineer Wireless E-Tailers,308880.00,Worker's Comp,WC,Renewal,Pharmacy Services & Retail Drugstore,Retail,Agent Portal,95-3807854,Detroit,MI,838-405-0589,whitney04@myers-pierce.com,396,2,880757856,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
3818755,2022-03-28,2023-03-28,12,4296064,Integrate 24/365 Supply-Chains,33100.00,Commercial Auto,AUTO,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Portal,91-3994394,Columbia,SC,600-681-3979,combssteven@yahoo.com,331,2,193362918,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
6848035,2022-03-08,2023-03-08,12,3701411,Extend Bricks-And-Clicks E-Tailers,25520.00,Worker's Comp,WC,New,Automotive Aftermarket,Retail,Direct Portal,98-1345739,Odessa,TX,700-678-5034,mgay@wilson-wilson.com,44,1,34252064,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
9132090,2022-03-29,2023-03-29,12,4001913,Productize Seamless Web Services,222500.00,Worker's Comp,WC,Renewal,Furniture & Fixtures,Retail,Agent Email Not-ACORD,92-4239415,Philadelphia,PA,191-619-0444,davisdonna@bishop.info,890,3,300959730,25859,Northeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
4123609,2022-03-03,2023-03-03,12,9935419,Strategize Robust Paradigms,91800.00,Commercial Auto,AUTO,Renewal,Nonalcoholic Beverages,Consumer Non Cyclical,Agent Portal,95-0640640,Saint Paul,MN,406-997-4135,jvargas@gmail.com,918,3,481692960,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
753231,2022-03-16,2023-03-16,12,4827454,Transition Viral Web-Readiness,8600.00,Commercial Auto,AUTO,Renewal,Investment Services,Financial,Direct Voice,90-5474757,Vancouver,WA,676-486-1641,crosbypenny@franklin-allen.com,86,1,101205058,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
6235847,2022-03-20,2023-03-20,12,2943628,Innovate Global Eyeballs,5060.00,Commercial Auto,AUTO,Renewal,Forestry & Wood Products,Construction,Agent Email Not-ACORD,91-0023205,Olathe,KS,130-019-7900,ashleyblackwell@gmail.com,23,1,22083174,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
4677675,2022-03-01,2023-03-01,12,9048494,Syndicate Next-Generation Methodologies,105930.00,Commercial Auto,AUTO,Renewal,Furniture & Fixtures,Retail,Direct Voice,93-8811458,Charleston,WV,805-330-5756,dustin81@kelly.biz,321,2,108548397,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5913715,2022-03-17,2023-03-17,12,9019786,Exploit Next-Generation Supply-Chains,385600.00,Commercial Auto,AUTO,New,Personal Services,Services,Agent Portal,91-2360104,Sioux Falls,SD,715-707-8771,william80@weeks.com,482,2,772234854,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
4867887,2022-03-17,2023-03-17,12,7102013,Unleash Impactful Info-Mediaries,10780.00,Commercial Auto,AUTO,New,Forestry & Wood Products,Construction,Agent Email ACORD,95-6894197,Tuscaloosa,AL,144-555-8434,cmcdonald@yahoo.com,49,1,47046762,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
9021698,2022-03-24,2023-03-24,12,2079510,Generate B2C Action-Items,71750.00,Worker's Comp,WC,Renewal,Office Supplies,Consumer Non Cyclical,Agent Portal,99-3169268,Philadelphia,PA,746-983-9622,jessicahayden@williams-frye.com,287,2,94101273,83896,Northeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
335682,2022-03-07,2023-03-07,12,6948333,Re-Contextualize Enterprise Mindshare,127600.00,Worker's Comp,WC,New,Environmental Services,Services,Agent Email Not-ACORD,94-7539278,Tuscaloosa,AL,147-655-8809,florestammy@ellis.info,319,2,128526057,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
7580166,2022-03-03,2023-03-03,12,7473881,Cultivate Robust Vortals,142100.00,Commercial Auto,AUTO,New,Wholesale,Retail,Agent Email ACORD,98-0441985,Waterbury,CT,836-329-1766,angelawood@dominguez.com,145,2,137604710,16296,Northeast,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
7728910,2022-03-01,2023-03-01,12,8087965,Exploit Sticky Paradigms,102400.00,Commercial Auto,AUTO,Renewal,Real Estate Operations,Services,Direct Portal,94-3458705,San Jose,CA,087-150-9251,pmccoy@anderson.com,128,2,184861952,64599,West,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7030788,2022-03-17,2023-03-17,12,7814478,Benchmark Extensible Niches,111360.00,Worker's Comp,WC,Renewal,Real Estate Operations,Services,Agent Email ACORD,93-9465356,Indianapolis,IN,449-047-5205,fitzgeraldbrandy@gmail.com,192,2,277292928,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
3747982,2022-03-24,2023-03-24,12,5123114,Re-Contextualize Value-Added Partnerships,90420.00,Worker's Comp,WC,New,Wholesale,Retail,Agent Portal,93-2115856,Providence,RI,162-422-0576,phernandez@hotmail.com,274,2,260025452,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
950152,2022-03-14,2023-03-14,12,6666202,Drive Cross-Platform Info-Mediaries,48000.00,Commercial Auto,AUTO,Renewal,Investment Services,Financial,Agent Portal,90-9652897,Tuscaloosa,AL,729-091-8536,kfreeman@brady.biz,480,2,564865440,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
2653307,2022-03-27,2023-03-27,12,1557408,Innovate Customized Content,259800.00,Commercial Auto,AUTO,Renewal,Agricultural Production,Consumer Non Cyclical,Agent Email ACORD,98-5179433,Tuscaloosa,AL,135-501-5404,tjones@howell.com,433,2,530567024,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
7221763,2022-03-18,2023-03-18,12,1577884,Synthesize Dot-Com Partnerships,83760.00,Worker's Comp,WC,New,Department & Discount Retail,Retail,Direct Voice,91-9322210,Winston–Salem,NC,926-215-6341,oacosta@gutierrez.com,349,2,83675891,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7550820,2022-03-22,2023-03-22,12,5787298,Revolutionize Bricks-And-Clicks Convergence,174500.00,Worker's Comp,WC,New,Furniture & Fixtures,Retail,Agent Portal,98-4700420,Fargo,ND,711-264-2959,hayesryan@hotmail.com,698,3,236033586,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
4197955,2022-03-12,2023-03-12,12,6924438,Brand Wireless Supply-Chains,40300.00,Worker's Comp,WC,Renewal,Consumer Financial Services,Financial,Direct Voice,90-6858877,Providence,RI,856-826-6952,iellison@solomon.biz,155,2,150151755,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
1972681,2022-03-07,2023-03-07,12,6341262,Enhance Robust Paradigms,475020.00,Worker's Comp,WC,Renewal,Real Estate Operations,Services,Direct Portal,93-2552356,Atlanta,GA,637-324-4729,davidjones@yahoo.com,819,3,1182827646,64599,Southeast,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
5489224,2022-03-05,2023-03-05,12,8394453,Cultivate Robust Users,134730.00,Worker's Comp,WC,Renewal,Restaurants,Services,Direct Portal,91-7337405,Indianapolis,IN,728-687-9980,austin32@wilcox.com,499,2,89500640,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
9151905,2022-03-03,2023-03-03,12,2474589,Syndicate Scalable Vortals,949050.00,Commercial Auto,AUTO,Renewal,Special Transportation Services,Transportation,Agent Email Not-ACORD,95-3225971,Billings,MT,562-981-1653,gbrown@yahoo.com,703,3,2381257840,65294,West,98527,ALKEME,2023-06-01 19:49:38.000+0000
428422,2022-03-01,2023-03-01,12,1942039,Incentivize Efficient Partnerships,8500.00,Commercial Auto,AUTO,Renewal,Retail Apparel,Retail,Agent Email Not-ACORD,98-9580950,Topeka,KS,995-949-8632,smithkathy@hotmail.com,85,1,16935570,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
2392894,2022-03-20,2023-03-20,12,6704355,Unleash Holistic Communities,89200.00,Commercial Auto,AUTO,Renewal,Specialty Retail,Retail,Direct Portal,90-5101478,St. Louis,MO,337-770-5808,zmason@smith-davis.biz,446,2,256542768,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7834479,2022-03-07,2023-03-07,12,3103753,Incubate Turn-Key Channels,27300.00,Commercial Auto,AUTO,Renewal,Technology Retail,Retail,Agent Portal,93-4692629,Sioux Falls,SD,323-551-7193,robert03@gmail.com,273,2,192960222,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
5350038,2022-03-27,2023-03-27,12,1629814,Maximize Vertical Mindshare,8000.00,Commercial Auto,AUTO,New,Personal Services,Services,Direct Voice,92-9537597,Lincoln,NE,603-433-5178,bradysharon@yahoo.com,10,1,16021470,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
966321,2022-03-31,2023-03-31,12,1616886,Empower Revolutionary Web Services,15340.00,Worker's Comp,WC,New,Food Processing,Consumer Non Cyclical,Agent Email ACORD,99-9260551,Omaha,NE,401-723-6624,curtis21@hotmail.com,59,1,50371191,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
4168115,2022-03-01,2023-03-01,12,2515282,Productize Rich Eyeballs,22400.00,Worker's Comp,WC,New,Advertising,Services,Agent Email ACORD,95-6928513,Evansville,IN,666-984-1592,robbinstammy@hotmail.com,32,1,9982496,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
5372456,2022-03-07,2023-03-07,12,6924652,Implement Back-End Synergies,556220.00,Worker's Comp,WC,New,Automotive Aftermarket,Retail,Agent Email Not-ACORD,92-4416508,Des Moines,IA,598-855-6965,leekatherine@hotmail.com,959,3,746539304,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
8271906,2022-03-01,2023-03-01,12,3636949,Utilize Distributed E-Markets,116640.00,Commercial Auto,AUTO,Renewal,Transport & Logistics,Transportation,Agent Portal,90-3879891,New York,NY,578-657-9479,shelia65@hart-johnson.com,72,1,20955096,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
6615992,2022-03-07,2023-03-07,12,9861753,Incubate Interactive E-Tailers,142230.00,Worker's Comp,WC,Renewal,Wholesale,Retail,Direct Portal,92-0343698,Clarksville,TN,116-267-0859,kterry@bright.com,431,2,409018138,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7290643,2022-04-30,2023-04-30,12,5876505,Evolve Collaborative Interfaces,38800.00,Commercial Auto,AUTO,Renewal,Personal & Household Products,Consumer Non Cyclical,Agent Email Not-ACORD,95-0766830,St. Louis,MO,324-672-6259,brownkevin@gmail.com,388,2,207681268,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
5913256,2022-04-07,2023-04-07,12,3701411,Extend Bricks-And-Clicks E-Tailers,8800.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Agent Portal,98-1345739,Odessa,TX,700-678-5034,mgay@wilson-wilson.com,44,1,34252064,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
6428401,2022-04-10,2023-04-10,12,5058951,Visualize Value-Added Infrastructures,259200.00,Commercial Auto,AUTO,Renewal,Personal Services,Services,Direct Voice,98-1197133,Las Vegas,NV,941-209-5681,zmiller@yahoo.com,324,2,519095628,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
9924121,2022-04-08,2023-04-08,12,2204364,Disintermediate Leading-Edge Web-Readiness,28900.00,Commercial Auto,AUTO,New,Alcoholic Beverages,Consumer Non Cyclical,Direct Portal,99-9031247,Memphis,TN,487-443-5250,charlottenorman@gmail.com,289,2,1109639198,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
1086045,2022-04-02,2023-04-02,12,9216928,Iterate Visionary Eyeballs,202800.00,Commercial Auto,AUTO,Renewal,Agricultural Production,Consumer Non Cyclical,Agent Email Not-ACORD,92-9837731,Little Rock,AR,032-997-9606,pamela01@hood-pearson.org,338,2,414160864,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
3493541,2022-04-10,2023-04-10,12,9006922,Envisioneer Leading-Edge Architectures,86400.00,Commercial Auto,AUTO,Renewal,Consumer Financial Services,Financial,Agent Email Not-ACORD,90-1450856,Carmel,IN,610-318-7933,owenmariah@yahoo.com,432,2,418487472,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
222568,2022-04-19,2023-04-19,12,6836958,Matrix Wireless Infrastructures,140800.00,Worker's Comp,WC,Renewal,Personal & Household Products,Consumer Non Cyclical,Agent Email ACORD,98-8412206,Minneapolis,MN,977-961-5729,andersonrichard@young.com,352,2,188411872,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
