policyid,customerno,policyquotationdate,policyeffectivedate,sex,firstname,lastname,customerdob,issuestate,city,country,issueage,smokingclass,uwclass,coverageunit,prodcode,yearlypremium,policystatus,sumassured,nationalid,maritalstatus,emailid,phoneno,policyterm,newrenew,producer,policyterminationdate,policyterminationreason,monthlypremium,agentcommision,premiumpaidtilldate,commisionpaidtilldate,beneficiaryname,beneficiaryrelationship,beneficiarypct,lastupdated
10010046,10044417,2022-10-01,2022/12/20,F,Misty,Smith,2001/11/16,FL,Coral Springs,USA,21,N,0,265,A0001,304,A,265000,518-60-9363,single,kristophergonzalez@yahoo.com,058-317-9083,15,R,P1002521,2037-12-20,,29.13,6.41,29.13,6.41,Mckenzie Roy,Spouse,100,14/02/2023 10:19:06
10010047,10008919,2022-12-09,2022/12/20,M,Connor,Wilson,1984/11/27,WI,Green Bay,USA,38,S,1,57,A0001,68,A,57000,676-61-0760,divorced,cathychang@hotmail.com,294-409-7386,15,R,P1003586,2037-12-20,,6.52,1.43,6.52,1.43,Maria Hobbs,Daughter,100,14/02/2023 10:19:06
10010048,10005124,2022-12-04,2022/12/20,M,Thomas,Garcia,1959/11/22,MN,Minneapolis,USA,63,N,0,287,A0001,373,A,287000,648-41-3682,divorced,terri94@gmail.com,106-575-9477,15,N,P1003043,2037-12-20,,35.75,7.87,35.75,7.87,Heidi Jacobson,Spouse,100,14/02/2023 10:19:06
10010049,10000233,2022-09-29,2022/12/20,F,Jacqueline,Barrett,1947/07/15,NM,Albuquerque,USA,75,N,2,403,A0001,523,A,403000,780-14-5538,single,markhicks@gmail.com,151-544-9830,15,N,P1002886,2037-12-20,,50.12,11.03,50.12,11.03,Betty Mclaughlin,Son,100,14/02/2023 10:19:06
10010050,10024163,2022-11-06,2022/12/20,M,David,King,2002/01/27,OH,Cleveland,USA,20,N,2,241,A0001,277,A,241000,379-78-8004,single,dbrown@hotmail.com,191-591-9729,15,R,P1000076,2037-12-20,,26.55,5.84,26.55,5.84,Amy Johnson,Son,100,14/02/2023 10:19:06
10010051,10009000,2022-10-19,2022/12/21,M,Charles,Frazier,2008/03/09,AR,Little Rock,USA,14,N,1,73,A0001,83,A,73000,803-76-7855,married,morrisrobert@gmail.com,553-584-7895,15,N,P1001967,2037-12-21,,7.95,1.75,7.95,1.75,Christy Sanchez,Son,100,14/02/2023 10:19:06
10010052,10026322,2022-11-09,2022/12/21,M,Paul,Goodman,2003/09/26,DC,Washington,USA,19,N,0,304,A0001,349,A,304000,003-23-4262,married,michael16@yahoo.com,503-727-2350,15,R,P1003304,2037-12-21,,33.45,7.36,33.45,7.36,Robert Lara,Son,100,14/02/2023 10:19:06
10010053,10008096,2022-10-13,2022/12/22,M,William,Walker,1940/12/04,MI,Grand Rapids,USA,82,N,1,474,A0001,284,A,474000,022-06-1166,married,qosborne@gmail.com,739-662-8470,15,N,P1001151,2037-12-22,,27.22,5.99,27.22,5.99,Autumn Brooks,Spouse,100,14/02/2023 10:19:06
10010054,10038940,2022-10-12,2022/12/22,M,Carlos,Bradford,1982/02/09,IA,Des Moines,USA,40,N,1,283,A0001,325,A,283000,157-43-5075,married,hutchinsonemily@hotmail.com,342-858-1755,15,N,P1000615,2037-12-22,,31.15,6.85,31.15,6.85,Richard Alvarez,Spouse,100,14/02/2023 10:19:06
10010055,10043223,2022-10-31,2022/12/22,F,Patricia,Walter,1969/05/01,CT,New Haven,USA,53,N,1,425,A0001,552,A,425000,419-99-9446,divorced,watkinsjacob@hotmail.com,207-077-9030,15,R,P1003983,2037-12-22,,52.9,11.64,52.9,11.64,Amber Barnes,Spouse,100,14/02/2023 10:19:06
10010056,10046551,2022-10-18,2022/12/22,F,Mary,Miller,1994/05/08,NE,Omaha,USA,28,N,0,408,A0001,469,A,408000,651-52-3069,single,jeffrey09@yahoo.com,979-750-3164,15,R,P1000707,2037-12-22,,44.95,9.89,44.95,9.89,Cassandra Johnson,Daughter,100,14/02/2023 10:19:06
10010057,10049311,2022-12-17,2022/12/22,M,Jonathan,Cline,1954/08/29,TX,Austin,USA,68,N,2,123,A0001,159,A,123000,457-84-9771,single,krussell@gmail.com,977-453-2828,15,N,P1003935,2037-12-22,,15.24,3.35,15.24,3.35,Diana Lewis,Son,100,14/02/2023 10:19:06
10010058,10020175,2022-11-27,2022/12/22,F,Valerie,Rogers,1993/06/13,MI,Grand Rapids,USA,29,S,2,84,A0001,100,A,84000,694-33-1204,single,longpatricia@yahoo.com,539-547-7056,15,N,P1000010,2037-12-22,,9.58,2.11,9.58,2.11,Joseph Abbott,Daughter,100,14/02/2023 10:19:06
10010059,10000120,2022-10-19,2022/12/23,F,Tracy,Simon,1999/08/11,AK,Anchorage,USA,23,N,2,250,A0001,287,A,250000,553-31-8284,married,ryan42@yahoo.com,069-643-1745,15,N,P1002756,2037-12-23,,27.5,6.05,27.5,6.05,Cristina Foster,Spouse,100,14/02/2023 10:19:06
10010060,10014352,2022-09-29,2022/12/23,M,Rodney,Brown,1946/06/08,MS,Jackson,USA,76,S,1,262,A0001,366,A,262000,545-48-8484,single,tiffany09@gmail.com,824-838-1947,15,N,P1001901,2037-12-23,,35.07,7.72,35.07,7.72,Jonathan Banks,Spouse,100,14/02/2023 10:19:06
10010061,10021974,2022-11-08,2022/12/23,M,Charles,Wood,1966/12/17,UT,West Valley City,USA,56,S,2,264,A0001,369,A,264000,332-85-0800,married,angela59@gmail.com,761-804-2159,15,N,P1002294,2037-12-23,,35.36,7.78,35.36,7.78,David Gonzalez,Daughter,100,14/02/2023 10:19:06
10010062,10039728,2022-10-16,2022/12/23,M,Julian,Young,1945/09/09,SC,Charleston,USA,77,N,2,57,A0001,74,A,57000,050-39-2696,married,ryangonzalez@gmail.com,597-382-2815,15,N,P1002239,2037-12-23,,7.09,1.56,7.09,1.56,Gerald Hill,Son,100,14/02/2023 10:19:06
10010063,10037600,2022-11-11,2022/12/23,M,Anthony,Brown,1981/03/15,KY,Louisville,USA,41,S,0,95,A0001,114,A,95000,823-90-6433,married,jamesadams@yahoo.com,999-290-1184,15,N,P1000077,2037-12-23,,10.92,2.4,10.92,2.4,Christopher Atkinson,Spouse,100,14/02/2023 10:19:06
10010064,10027156,2022-11-29,2022/12/23,M,James,Owen,1967/08/31,GA,Augusta,USA,55,S,0,456,A0001,638,A,456000,253-85-4800,single,wtodd@hotmail.com,660-964-7122,15,N,P1002945,2037-12-23,,61.14,13.45,61.14,13.45,Alexander Brady,Spouse,100,14/02/2023 10:19:06
10010065,10035441,2022-12-01,2022/12/24,M,Andrew,Bradford,1967/05/04,MA,Quincy,USA,55,N,1,402,A0001,522,A,402000,810-52-7077,married,stevenbaker@gmail.com,076-888-6326,15,R,P1001849,2037-12-24,,50.02,11.0,50.02,11.0,Robert Stafford,Spouse,100,14/02/2023 10:19:06
10010066,10026270,2022-12-03,2022/12/24,M,Carlos,Dillon,2007/11/26,GA,Athens,USA,15,N,1,58,A0001,66,A,58000,469-51-6945,single,twagner@yahoo.com,124-550-6544,15,N,P1001949,2037-12-24,,6.32,1.39,6.32,1.39,Jonathan Cook,Spouse,100,14/02/2023 10:19:06
10010067,10049295,2022-10-02,2022/12/24,F,Theresa,Jones,1980/12/06,TN,Nashville,USA,42,N,0,259,A0001,297,A,259000,230-97-4214,single,dmitchell@hotmail.com,346-457-7835,15,R,P1001772,2037-12-24,,28.46,6.26,28.46,6.26,Morgan Yang,Daughter,100,14/02/2023 10:19:06
10010068,10045442,2022-11-24,2022/12/24,M,Charles,Thompson,1973/03/26,IA,Cedar Rapids,USA,49,S,2,302,A0001,422,A,302000,581-45-2984,single,higginsevelyn@hotmail.com,629-866-7843,15,R,P1002791,2037-12-24,,40.44,8.9,40.44,8.9,Brian Miller,Son,100,14/02/2023 10:19:06
10010069,10023838,2022-10-09,2022/12/24,F,Amber,Ellison,1975/12/08,MT,Billings,USA,47,N,1,331,A0001,430,A,331000,643-53-1855,divorced,christopher66@hotmail.com,763-432-7040,15,N,P1000328,2037-12-24,,41.21,9.07,41.21,9.07,Cody Miller Jr.,Daughter,100,14/02/2023 10:19:06
10010070,10005883,2022-12-01,2022/12/24,M,David,Andrews,1963/11/30,NH,Manchester,USA,59,S,1,358,A0001,501,A,358000,695-85-5211,single,kelly08@yahoo.com,302-421-1904,15,R,P1000086,2037-12-24,,48.01,10.56,48.01,10.56,William Maldonado,Spouse,100,14/02/2023 10:19:06
10010071,10049835,2022-12-21,2022/12/24,M,David,Shaffer,1979/12/30,RI,Providence,USA,42,N,1,458,A0001,526,A,458000,588-21-4879,divorced,mhall@yahoo.com,691-397-9388,15,R,P1003172,2037-12-24,,50.41,11.09,50.41,11.09,Kevin Burke,Daughter,100,14/02/2023 10:19:06
10010072,10006617,2022-10-12,2022/12/24,F,Cindy,Tate,1948/12/26,KS,Olathe,USA,73,N,0,437,A0001,568,A,437000,537-18-2741,single,pdiaz@gmail.com,093-519-0199,15,N,P1003820,2037-12-24,,54.43,11.97,54.43,11.97,Tammy Rollins,Daughter,100,14/02/2023 10:19:06
10010073,10020027,2022-11-12,2022/12/24,F,Jennifer,Coffey,1987/04/30,AR,Little Rock,USA,35,N,2,373,A0001,428,A,373000,344-79-4312,married,timcampbell@hotmail.com,401-621-9947,15,R,P1002924,2037-12-24,,41.02,9.02,41.02,9.02,Julie Brock,Spouse,100,14/02/2023 10:19:06
10010074,10040252,2022-10-23,2022/12/24,M,Timothy,Hanson,1976/09/03,MA,New Bedford,USA,46,S,1,282,A0001,394,A,282000,877-45-0835,divorced,mckenzierebecca@gmail.com,855-257-7666,15,N,P1001003,2037-12-24,,37.76,8.31,37.76,8.31,Philip Cox,Daughter,100,14/02/2023 10:19:06
10010075,10008303,2022-11-15,2022/12/24,F,Amanda,Patton,1994/04/16,ID,Boise,USA,28,N,1,384,A0001,441,A,384000,829-15-2362,single,huntertammy@yahoo.com,424-790-6339,15,N,P1002198,2037-12-24,,42.26,9.3,42.26,9.3,Joseph George,Son,100,14/02/2023 10:19:06
10010076,10044189,2022-10-20,2022/12/24,M,Michael,Martin,1970/12/06,LA,Shreveport,USA,52,S,0,346,A0001,484,A,346000,512-48-3215,single,fgarcia@gmail.com,403-039-1096,15,N,P1002742,2037-12-24,,46.38,10.2,46.38,10.2,Michael Wolf,Daughter,100,14/02/2023 10:19:06
10010077,10026422,2022-10-19,2022/12/24,F,Stephanie,Anderson,1958/07/22,MS,Jackson,USA,64,N,1,306,A0001,397,A,306000,307-74-8457,single,sjones@hotmail.com,340-890-8989,15,R,P1001676,2037-12-24,,38.05,8.37,38.05,8.37,Brittany Gamble,Spouse,100,14/02/2023 10:19:06
10010078,10008413,2022-11-23,2022/12/24,F,April,Rivas,1974/03/11,IL,Chicago,USA,48,N,0,50,A0001,65,A,50000,855-19-7691,married,perryashlee@yahoo.com,449-219-4986,15,R,P1000007,2037-12-24,,6.23,1.37,6.23,1.37,John Baker,Daughter,100,14/02/2023 10:19:06
10010079,10035073,2022-12-03,2022/12/24,F,Heather,Escobar,1977/07/11,WV,Charleston,USA,45,S,1,369,A0001,442,A,369000,616-36-0024,single,hendersonmichael@yahoo.com,010-322-7033,15,R,P1003797,2037-12-24,,42.36,9.32,42.36,9.32,Randall Mason,Spouse,100,14/02/2023 10:19:06
10010080,10033164,2022-12-04,2022/12/25,M,Brett,Luna,1941/07/30,LA,New Orleans,USA,81,N,2,368,A0001,220,A,368000,588-32-8809,divorced,courtney27@gmail.com,580-476-1519,15,N,P1000268,2037-12-25,,21.08,4.64,21.08,4.64,Dylan Sexton,Spouse,100,14/02/2023 10:19:06
10010081,10030966,2022-12-11,2022/12/25,M,Austin,Wright,1966/04/29,CA,Los Angeles,USA,56,N,0,229,A0001,297,A,229000,600-91-9975,single,marvin31@gmail.com,356-495-0102,15,R,P1003445,2037-12-25,,28.46,6.26,28.46,6.26,Jack Charles,Spouse,100,14/02/2023 10:19:06
10010082,10030954,2022-12-07,2022/12/25,M,John,Hogan,1944/11/04,OH,Columbus,USA,78,N,0,321,A0001,417,A,321000,796-56-0564,single,wilsonshelley@gmail.com,542-927-0031,15,R,P1002017,2037-12-25,,39.96,8.79,39.96,8.79,Anthony Williams,Daughter,100,14/02/2023 10:19:06
10010083,10038780,2022-11-06,2022/12/25,M,Alex,Le,2005/03/31,SD,Sioux Falls,USA,17,S,2,311,A0001,373,A,311000,477-06-2065,single,aprilmercado@hotmail.com,809-420-7528,15,N,P1003543,2037-12-25,,35.75,7.87,35.75,7.87,Gregory White,Son,100,14/02/2023 10:19:06
10010084,10013072,2022-09-27,2022/12/25,F,Virginia,Walker,1961/05/01,SC,Charleston,USA,61,S,2,273,A0001,382,A,273000,762-76-9455,divorced,davidsolis@hotmail.com,225-251-6976,15,R,P1002340,2037-12-25,,36.61,8.05,36.61,8.05,Gabriel Williams,Daughter,100,14/02/2023 10:19:06
10010085,10032858,2022-11-21,2022/12/25,M,Billy,Estrada,2003/09/04,MT,Billings,USA,19,S,0,222,A0001,266,A,222000,867-13-3598,married,sethcox@gmail.com,488-334-4733,15,R,P1003546,2037-12-25,,25.49,5.61,25.49,5.61,Sabrina Steele,Daughter,100,14/02/2023 10:19:06
10010086,10033560,2022-12-12,2022/12/25,F,Samantha,Mitchell,1995/04/06,RI,Providence,USA,27,N,1,419,A0001,481,A,419000,374-21-8492,married,zcarter@hotmail.com,631-648-5658,15,N,P1003230,2037-12-25,,46.1,10.14,46.1,10.14,Krista Brown,Spouse,100,14/02/2023 10:19:06
10010087,10016293,2022-10-07,2022/12/25,F,Jennifer,Mullins,1970/03/27,NV,North Las Vegas,USA,52,N,2,327,A0001,425,A,327000,316-78-3669,divorced,downsnicholas@hotmail.com,434-420-6971,15,R,P1002764,2037-12-25,,40.73,8.96,40.73,8.96,David Fisher,Son,100,14/02/2023 10:19:06
10010088,10004853,2022-10-05,2022/12/25,M,Brad,Mccoy,1943/09/30,UT,Salt Lake City,USA,79,N,2,120,A0001,156,A,120000,556-49-0170,single,karenscott@gmail.com,257-533-5315,15,R,P1000964,2037-12-25,,14.95,3.29,14.95,3.29,Patrick Vargas,Daughter,100,14/02/2023 10:19:06
10010089,10014042,2022-12-20,2022/12/25,F,Krista,Hunt,1995/08/11,NC,Charlotte,USA,27,N,2,131,A0001,150,A,131000,255-10-7948,divorced,qtucker@yahoo.com,693-144-3301,15,N,P1001273,2037-12-25,,14.37,3.16,14.37,3.16,Jacob Anderson,Spouse,100,14/02/2023 10:19:06
10010090,10002238,2022-10-19,2022/12/25,F,Emily,Suarez,1974/04/24,TX,Fort Worth,USA,48,N,1,120,A0001,156,A,120000,866-70-5509,single,williamsconnor@gmail.com,445-630-6685,15,R,P1000639,2037-12-25,,14.95,3.29,14.95,3.29,Kenneth Deleon,Spouse,100,14/02/2023 10:19:06
10010091,10017479,2022-11-11,2022/12/25,F,Emily,Vaughan,1946/10/14,MS,Jackson,USA,76,N,2,404,A0001,525,A,404000,765-62-7596,single,fischermichael@gmail.com,980-123-9424,15,N,P1003962,2037-12-25,,50.31,11.07,50.31,11.07,Robert Odom,Son,100,14/02/2023 10:19:06
10010092,10005643,2022-09-26,2022/12/25,M,Jeffrey,Smith,1972/05/07,MO,Kansas City,USA,50,S,0,456,A0001,638,A,456000,048-52-8338,single,jennifer53@gmail.com,336-832-5621,15,N,P1001413,2037-12-25,,61.14,13.45,61.14,13.45,Brittany Lee,Daughter,100,14/02/2023 10:19:06
10010093,10037133,2022-12-07,2022/12/26,F,Rachel,Tran,1965/11/28,OH,Dayton,USA,57,S,1,458,A0001,641,A,458000,218-51-0971,divorced,glenndebra@hotmail.com,616-980-6738,15,N,P1002334,2037-12-26,,61.43,13.51,61.43,13.51,David Harris,Spouse,100,14/02/2023 10:19:06
10010094,10048892,2022-10-19,2022/12/27,M,Nathan,Wood,1974/11/01,OH,Cleveland,USA,48,S,2,100,A0001,140,A,100000,244-78-8630,married,julie42@yahoo.com,046-113-4079,15,N,P1002017,2037-12-27,,13.42,2.95,13.42,2.95,Steven Bartlett,Son,100,14/02/2023 10:19:06
10010095,10014648,2022-12-08,2022/12/27,M,Keith,Johnson,2005/08/12,ID,Boise,USA,17,S,0,131,A0001,157,A,131000,735-35-6385,single,yyates@hotmail.com,123-505-7156,15,R,P1003240,2037-12-27,,15.05,3.31,15.05,3.31,Joseph Mcclain,Daughter,100,14/02/2023 10:19:06
10010096,10046649,2022-10-10,2022/12/27,F,Cassandra,Flores,1941/08/08,AK,Anchorage,USA,81,N,1,200,A0001,120,A,200000,102-52-6309,single,brodriguez@gmail.com,172-098-7440,15,N,P1002022,2037-12-27,,11.5,2.53,11.5,2.53,Susan Miranda,Spouse,100,14/02/2023 10:19:06
10010097,10013166,2022-11-20,2022/12/27,M,Kevin,Wilson,2008/11/07,AR,Little Rock,USA,14,S,0,371,A0001,445,A,371000,093-63-1645,single,simmonsgreg@yahoo.com,908-549-3721,15,N,P1003394,2037-12-27,,42.65,9.38,42.65,9.38,Dr. Ashley Farley MD,Son,100,14/02/2023 10:19:06
10010098,10012198,2022-10-01,2022/12/27,F,Erica,Rodgers,1961/06/29,NC,Charlotte,USA,61,N,2,408,A0001,530,A,408000,149-69-6031,single,mcguiremichelle@yahoo.com,051-718-9470,15,N,P1003427,2037-12-27,,50.79,11.17,50.79,11.17,Cathy Wagner,Spouse,100,14/02/2023 10:19:06
10010099,10024827,2022-12-24,2022/12/27,M,Mitchell,Rose,1977/05/01,GA,Atlanta,USA,45,N,1,105,A0001,120,A,105000,682-97-8663,single,turnereric@gmail.com,643-021-2770,15,R,P1003741,2037-12-27,,11.5,2.53,11.5,2.53,Thomas Bond,Son,100,14/02/2023 10:19:06
10010100,10005162,2022-11-27,2022/12/27,M,Michael,Carrillo,1974/05/07,TX,Fort Worth,USA,48,N,2,181,A0001,235,A,181000,624-19-5291,single,whitebrenda@gmail.com,795-964-8410,15,N,P1001315,2037-12-27,,22.52,4.95,22.52,4.95,Richard Collins,Spouse,100,14/02/2023 10:19:06
10010101,10023266,2022-10-06,2022/12/27,M,Jason,Aguilar,1972/05/15,HI,Honolulu,USA,50,N,1,483,A0001,627,A,483000,195-46-7567,single,morgangary@yahoo.com,910-947-4522,15,N,P1002633,2037-12-27,,60.09,13.22,60.09,13.22,Philip Marshall,Daughter,100,14/02/2023 10:19:06
10010102,10017334,2022-11-08,2022/12/27,M,Lawrence,Rollins,2000/03/22,WV,Charleston,USA,22,N,0,406,A0001,466,A,406000,287-04-3641,divorced,duncanalicia@gmail.com,820-015-6914,15,N,P1002647,2037-12-27,,44.66,9.83,44.66,9.83,Cheryl Haley,Spouse,100,14/02/2023 10:19:06
10010103,10042148,2022-10-08,2022/12/27,F,Stephanie,Moon,1982/06/26,CO,Pueblo,USA,40,N,0,485,A0001,557,A,485000,758-06-8584,divorced,haroldanderson@yahoo.com,720-966-9822,15,N,P1002981,2037-12-27,,53.38,11.74,53.38,11.74,Ashley Short,Daughter,100,14/02/2023 10:19:06
10010104,10001874,2022-11-14,2022/12/27,F,Michelle,Richard,2007/10/03,OR,Bend,USA,15,N,2,444,A0001,510,A,444000,248-41-1526,single,linda17@yahoo.com,681-878-7770,15,N,P1002206,2037-12-27,,48.87,10.75,48.87,10.75,Tammy Lee,Spouse,100,14/02/2023 10:19:06
10010105,10011076,2022-11-18,2022/12/27,M,Michael,Smith,1971/04/09,CO,Denver,USA,51,S,2,386,A0001,540,A,386000,054-94-7924,single,mejiachelsea@hotmail.com,416-545-2022,15,R,P1001640,2037-12-27,,51.75,11.38,51.75,11.38,Wesley Jimenez,Daughter,100,14/02/2023 10:19:06
10010106,10025762,2022-11-01,2022/12/27,F,Melissa,Howell,2007/04/07,VA,Richmond,USA,15,N,1,105,A0001,120,A,105000,791-33-5793,divorced,wgonzalez@yahoo.com,727-347-4510,15,N,P1001263,2037-12-27,,11.5,2.53,11.5,2.53,Brittany Neal,Daughter,100,14/02/2023 10:19:06
10010107,10034188,2022-10-20,2022/12/28,M,Joseph,Salazar,1942/09/03,CT,Stamford,USA,80,S,2,237,A0001,331,A,237000,128-02-7652,single,slucas@hotmail.com,128-941-5704,15,N,P1001549,2037-12-28,,31.72,6.98,31.72,6.98,Jon Kelley,Daughter,100,14/02/2023 10:19:06
10010108,10011329,2022-12-22,2022/12/28,M,Michael,Williams,1961/11/16,CA,Bakersfield,USA,61,N,2,201,A0001,261,A,201000,135-09-8239,married,ryanbates@hotmail.com,304-833-0059,15,R,P1000006,2037-12-28,,25.01,5.5,25.01,5.5,Alexander Miller,Daughter,100,14/02/2023 10:19:06
10010109,10000718,2022-12-15,2022/12/29,F,Amy,Smith,1979/09/09,NY,New York,USA,43,N,2,460,A0001,529,A,460000,370-26-6699,single,dawn05@gmail.com,345-692-6762,15,N,P1002129,2037-12-29,,50.7,11.15,50.7,11.15,Gina Hill,Spouse,100,14/02/2023 10:19:06
10010110,10022607,2022-11-01,2022/12/29,M,Blake,Gibson,1997/03/17,NH,Manchester,USA,25,N,1,496,A0001,570,A,496000,570-99-4586,divorced,sandy59@gmail.com,640-660-3275,15,R,P1000474,2037-12-29,,54.62,12.02,54.62,12.02,Megan Hicks,Son,100,14/02/2023 10:19:06
10010111,10014277,2022-11-20,2022/12/29,M,Thomas,Potts,1981/05/31,WY,Cheyenne,USA,41,S,0,195,A0001,234,A,195000,275-89-6695,married,sharonlee@yahoo.com,205-501-2148,15,R,P1003922,2037-12-29,,22.42,4.93,22.42,4.93,Mike Ruiz,Spouse,100,14/02/2023 10:19:06
10010112,10038141,2022-11-27,2022/12/29,M,Christopher,Wolfe,1979/12/03,OR,Bend,USA,43,S,2,487,A0001,584,A,487000,036-51-1363,single,jasonbarnett@hotmail.com,231-029-6650,15,R,P1001205,2037-12-29,,55.97,12.31,55.97,12.31,Adrian Wilson,Daughter,100,14/02/2023 10:19:06
10010113,10032043,2022-12-10,2022/12/29,M,Mario,Price,1964/09/04,FL,Miami,USA,58,N,2,475,A0001,617,A,475000,834-15-3784,single,harveyelizabeth@yahoo.com,959-897-2828,15,N,P1002287,2037-12-29,,59.13,13.01,59.13,13.01,Gregory Smith,Spouse,100,14/02/2023 10:19:06
10010114,10006766,2022-11-24,2022/12/29,M,Christopher,Walker,1965/01/06,MO,Springfield,USA,57,N,2,323,A0001,419,A,323000,296-91-7904,divorced,duartesusan@yahoo.com,108-873-4304,15,R,P1003052,2037-12-29,,40.15,8.83,40.15,8.83,Colleen Peterson,Son,100,14/02/2023 10:19:06
10010115,10048602,2022-12-07,2022/12/29,M,Christopher,Horton,1962/01/23,LA,New Orleans,USA,60,N,1,252,A0001,327,A,252000,603-78-7909,single,joneskenneth@yahoo.com,064-120-6835,15,N,P1001651,2037-12-29,,31.34,6.89,31.34,6.89,William Wilson,Spouse,100,14/02/2023 10:19:06
10010116,10013078,2022-11-25,2022/12/29,F,Melinda,Franco,1973/11/10,NE,Lincoln,USA,49,S,1,446,A0001,624,A,446000,646-30-9511,married,olsenmichael@gmail.com,604-312-4022,15,N,P1003117,2037-12-29,,59.8,13.16,59.8,13.16,Sheila Smith,Spouse,100,14/02/2023 10:19:06
10010117,10001993,2022-10-29,2022/12/29,F,Jaclyn,Lindsey,1972/08/06,FL,Orlando,USA,50,S,2,296,A0001,414,A,296000,317-52-7766,married,lorihoffman@yahoo.com,229-868-8096,15,R,P1002834,2037-12-29,,39.67,8.73,39.67,8.73,Erin Chang,Spouse,100,14/02/2023 10:19:06
10010118,10014259,2022-10-19,2022/12/29,M,William,Mack,1983/04/25,MN,Saint Paul,USA,39,S,0,397,A0001,476,A,397000,557-06-5386,single,christinejohnson@yahoo.com,476-735-4456,15,N,P1002591,2037-12-29,,45.62,10.04,45.62,10.04,Tony Stewart,Daughter,100,14/02/2023 10:19:06
10010119,10024914,2022-10-25,2022/12/29,M,Nathaniel,Williams,1952/05/17,OH,Columbus,USA,70,N,2,196,A0001,254,A,196000,179-22-9654,divorced,josephmitchell@gmail.com,325-435-0280,15,R,P1003042,2037-12-29,,24.34,5.35,24.34,5.35,Jeremiah Moore MD,Daughter,100,14/02/2023 10:19:06
10010120,10026778,2022-10-21,2022/12/29,F,Linda,West,2004/09/14,SC,North Charleston,USA,18,S,1,478,A0001,573,A,478000,439-12-4005,married,chelsea66@yahoo.com,312-537-7482,15,N,P1000859,2037-12-29,,54.91,12.08,54.91,12.08,Teresa Walker,Daughter,100,14/02/2023 10:19:06
10010121,10042273,2022-11-24,2022/12/30,F,Karen,Taylor,1974/09/25,IN,Fort Wayne,USA,48,S,1,140,A0001,196,A,140000,017-89-9175,single,amandazimmerman@yahoo.com,189-165-0224,15,R,P1001817,2037-12-30,,18.78,4.13,18.78,4.13,Joshua Garcia,Son,100,14/02/2023 10:19:06
10010122,10042554,2022-12-01,2022/12/30,F,Melissa,Rodriguez,1942/08/21,TN,Murfreesboro,USA,80,S,2,354,A0001,495,A,354000,569-26-1985,single,daniel73@hotmail.com,973-881-7348,15,N,P1000402,2037-12-30,,47.44,10.44,47.44,10.44,Maria Nelson,Son,100,14/02/2023 10:19:06
10010123,10035006,2022-11-02,2022/12/30,M,Jon,Ellis,1999/08/23,AK,Anchorage,USA,23,N,0,479,A0001,550,A,479000,747-20-9785,single,deborah00@hotmail.com,301-024-0650,15,N,P1003219,2037-12-30,,52.71,11.6,52.71,11.6,Summer Lucas,Spouse,100,14/02/2023 10:19:06
10010124,10006899,2022-12-15,2022/12/30,F,Melanie,Johnson,1986/01/25,NY,New York,USA,36,S,0,275,A0001,330,A,275000,577-78-3693,single,emily76@hotmail.com,275-434-2066,15,R,P1002823,2037-12-30,,31.62,6.96,31.62,6.96,Wendy Foster,Spouse,100,14/02/2023 10:19:06
10010125,10013459,2022-12-29,2022/12/30,M,Nathan,Robinson,1951/06/18,WV,Charleston,USA,71,S,2,210,A0001,294,A,210000,370-21-1953,married,bartonvirginia@hotmail.com,455-912-6792,15,R,P1003967,2037-12-30,,28.17,6.2,28.17,6.2,Jason Ross,Spouse,100,14/02/2023 10:19:06
10010126,10031947,2022-11-12,2022/12/30,F,Tracy,Vang,1964/01/14,ND,Fargo,USA,58,S,2,85,A0001,118,A,85000,040-05-8058,single,lwatson@yahoo.com,455-333-5472,15,N,P1002138,2037-12-30,,11.31,2.49,11.31,2.49,William Bell,Daughter,100,14/02/2023 10:19:06
10010127,10046580,2022-11-21,2022/12/31,M,Phillip,Mccoy,1988/03/02,GA,Macon,USA,34,S,1,480,A0001,576,A,480000,255-83-0177,single,thomasking@hotmail.com,777-316-3394,15,R,P1000886,2037-12-31,,55.2,12.14,55.2,12.14,Nathan Hamilton,Son,100,14/02/2023 10:19:06
10010128,10038594,2022-11-01,2023/01/01,F,Dawn,Bailey,1939/01/30,WA,Renton,USA,83,S,1,78,A0001,46,A,78000,598-24-8641,divorced,wwilliams@yahoo.com,217-683-9602,15,R,P1003486,2038-01-01,,4.41,0.97,4.41,0.97,Ashley Walton,Son,100,14/02/2023 10:19:06
10010129,10027301,2022-11-27,2023/01/01,M,Tyler,Jones,1949/04/19,IL,Chicago,USA,73,S,2,321,A0001,449,A,321000,002-64-3379,married,kritter@gmail.com,450-329-4887,15,R,P1002555,2038-01-01,,43.03,9.47,43.03,9.47,Jennifer Patterson,Son,100,14/02/2023 10:19:06
10010130,10015288,2022-12-13,2023/01/01,F,Rebecca,Torres,1954/04/16,WV,Charleston,USA,68,S,2,167,A0001,233,A,167000,016-46-6926,single,owashington@hotmail.com,973-202-7297,15,R,P1002384,2038-01-01,,22.33,4.91,22.33,4.91,Lisa Walker,Spouse,100,14/02/2023 10:19:06
