claimno,policyid,firstname,lastname,claimsreporteddate,policyeffectivedate,claimstatus,claimdescription,adjudicationstatus,adjudicationdescription,EOBgenerated,claimamount,paidamount,adjudicationdate,paymentdate,beneficiaryname,beneficiaryrelationship,beneficiarypct,checkno,lastupdated
10000758,10002462,Mary,Miller,11/01/2020,2020/09/17,A,Adjudicated,,,N,325000,,11/17/2020,,Samuel Rodriguez,Spouse,100,,14/02/2023 10:26:20
10000759,10002494,Brittany,Miller,11/01/2020,2020/09/22,R,Received,,,Y,421000,,,,Dennis Martinez,Daughter,100,,14/02/2023 10:26:20
10000760,10002498,William,Richardson,11/01/2020,2020/09/23,R,Received,,,Y,490000,,,,Rebecca Briggs,Daughter,100,,14/02/2023 10:26:20
10000761,10002502,Traci,Love,11/01/2020,2020/09/23,I,Inprogress,FI,Fraud Investigation In Progress,Y,238000,,,,Isaac Sanders,Spouse,100,,14/02/2023 10:26:20
10000762,10002542,Dana,Salazar,11/01/2020,2020/09/30,R,Received,,,Y,401000,,,,Brian Hart,Spouse,100,,14/02/2023 10:26:20
10000763,10002578,Billy,Valenzuela,11/01/2020,2020/10/04,P,Paid,,,N,60000,60000,,12/06/2020,Mark Walker,Daughter,100,1001001,14/02/2023 10:26:20
10000764,10002050,Eugene,Jones,11/01/2020,2020/08/01,R,Received,,,Y,294000,,,,Martha Landry,Daughter,100,,14/02/2023 10:26:20
10000765,10002091,Cassandra,Davies,11/01/2020,2020/08/05,R,Received,,,Y,76000,,,,Lindsay Cooper,Spouse,100,,14/02/2023 10:26:20
10000766,10002149,Jill,Brown,11/01/2020,2020/08/16,P,Paid,,,N,455000,455000,,12/03/2020,Darrell Franklin,Daughter,100,1001001,14/02/2023 10:26:20
10000767,10002281,Lindsey,Sanchez,11/01/2020,2020/08/31,P,Paid,,,Y,128000,128000,,11/30/2020,Deborah Taylor DDS,Spouse,100,1001001,14/02/2023 10:26:20
10000768,10001803,Zachary,Mccann,11/01/2020,2020/07/09,R,Received,,,Y,101000,,,,Mckenzie Marks,Spouse,100,,14/02/2023 10:26:20
10000769,10001629,Lisa,Mclean,11/01/2020,2020/06/23,R,Received,,,N,400000,,,,Cynthia Sullivan,Son,100,,14/02/2023 10:26:20
10000770,10001658,Amy,Kennedy,11/01/2020,2020/06/27,P,Paid,,,N,490000,490000,,11/26/2020,John Reid,Daughter,100,1001001,14/02/2023 10:26:20
10000771,10001679,Virginia,Wolfe,11/01/2020,2020/06/28,I,Inprogress,RA,Requirement Awaited,N,482000,,,,Sarah Pruitt,Daughter,100,,14/02/2023 10:26:20
10000772,10002852,Lisa,Gray,12/06/2020,2020/10/26,R,Received,,,Y,218000,,,,Heather Rodriguez,Son,100,,14/02/2023 10:26:20
10000773,10002875,Heidi,Murray,12/06/2020,2020/10/28,A,Adjudicated,,,Y,197000,,01/05/2021,,Michael Obrien,Son,100,,14/02/2023 10:26:20
10000774,10002880,Mackenzie,Kerr,12/06/2020,2020/10/28,I,Inprogress,PL,Policy Lapsed,Y,325000,,,,Sean Lawrence,Daughter,100,,14/02/2023 10:26:20
10000775,10002886,Christopher,Brown,12/06/2020,2020/10/29,I,Inprogress,DP,Document in Process,Y,489000,,,,Ryan Jensen,Son,100,,14/02/2023 10:26:20
10000776,10002890,Marcus,Sanders,12/06/2020,2020/10/30,R,Received,,,N,415000,,,,Patrick Richardson,Spouse,100,,14/02/2023 10:26:20
10000777,10002900,Misty,Cain,12/06/2020,2020/11/01,A,Adjudicated,,,Y,397000,,12/17/2020,,Timothy Wright,Spouse,100,,14/02/2023 10:26:20
10000778,10002908,Andrew,Murphy,12/06/2020,2020/11/01,R,Received,,,Y,272000,,,,James Rodgers,Spouse,100,,14/02/2023 10:26:20
10000779,10002909,Deanna,Obrien,12/06/2020,2020/11/01,I,Inprogress,BN,Beneficiary Not Found,Y,299000,,,,Christopher Williams,Daughter,100,,14/02/2023 10:26:20
10000780,10002915,Michael,Gilbert,12/06/2020,2020/11/02,A,Adjudicated,,,N,131000,,12/15/2020,,John Hunt,Spouse,100,,14/02/2023 10:26:20
10000781,10002922,Craig,Valdez,12/06/2020,2020/11/03,P,Paid,,,N,413000,413000,,12/31/2020,Brian Carr,Spouse,100,1001001,14/02/2023 10:26:20
10000782,10002926,Angela,Gates,12/06/2020,2020/11/05,R,Received,,,Y,294000,,,,Robert Davis,Son,100,,14/02/2023 10:26:20
10000783,10002931,Melinda,Weber,12/06/2020,2020/11/05,R,Received,,,N,452000,,,,Sara Bates,Daughter,100,,14/02/2023 10:26:20
10000784,10002936,Tammy,Johnson,12/06/2020,2020/11/06,R,Received,,,Y,467000,,,,Melissa Hamilton,Son,100,,14/02/2023 10:26:20
10000785,10002945,Nicole,Chandler,12/06/2020,2020/11/06,A,Adjudicated,,,Y,136000,,01/01/2021,,Laura Wilkinson,Son,100,,14/02/2023 10:26:20
10000786,10002948,Jennifer,Rodriguez,12/06/2020,2020/11/07,A,Adjudicated,,,N,158000,,12/29/2020,,Hannah Davenport,Son,100,,14/02/2023 10:26:20
10000787,10002952,Luke,Armstrong,12/06/2020,2020/11/08,A,Adjudicated,,,Y,101000,,12/29/2020,,Wayne Peck DDS,Daughter,100,,14/02/2023 10:26:20
10000788,10002953,Christian,Blanchard,12/06/2020,2020/11/08,A,Adjudicated,,,Y,438000,,12/28/2020,,Douglas Bishop,Spouse,100,,14/02/2023 10:26:20
10000789,10002954,Kevin,White,12/06/2020,2020/11/10,P,Paid,,,N,426000,426000,,12/19/2020,William Robles,Son,100,1001001,14/02/2023 10:26:20
10000790,10002962,Ryan,Ortiz,12/06/2020,2020/11/11,P,Paid,,,Y,247000,247000,,01/04/2021,James Hughes,Spouse,100,1001001,14/02/2023 10:26:20
10000791,10002965,Felicia,Kent,12/06/2020,2020/11/12,P,Paid,,,N,114000,114000,,12/27/2020,Joshua Ward,Daughter,100,1001001,14/02/2023 10:26:20
10000792,10002973,Kayla,Paul,12/06/2020,2020/11/13,A,Adjudicated,,,N,454000,,12/23/2020,,Todd Robinson,Daughter,100,,14/02/2023 10:26:20
10000793,10002980,Amber,Marshall,12/06/2020,2020/11/13,I,Inprogress,FI,Fraud Investigation In Progress,Y,355000,,,,Cristian Cox,Spouse,100,,14/02/2023 10:26:20
10000794,10002989,Desiree,Merritt,12/06/2020,2020/11/15,R,Received,,,N,341000,,,,Diane Johns,Daughter,100,,14/02/2023 10:26:20
10000795,10002990,Michelle,Guzman,12/06/2020,2020/11/15,A,Adjudicated,,,N,379000,,12/24/2020,,Amber Anderson,Spouse,100,,14/02/2023 10:26:20
10000796,10002999,Troy,Brown,12/06/2020,2020/11/16,P,Paid,,,Y,259000,259000,,01/03/2021,Shane Duran,Daughter,100,1001001,14/02/2023 10:26:20
10000797,10003001,Pam,Johnson,12/06/2020,2020/11/16,R,Received,,,Y,326000,,,,Jamie Owens,Daughter,100,,14/02/2023 10:26:20
10000798,10003002,Gina,Jackson,12/06/2020,2020/11/16,R,Received,,,Y,272000,,,,Justin Taylor,Son,100,,14/02/2023 10:26:20
10000799,10003003,Andrew,Myers,12/06/2020,2020/11/16,A,Adjudicated,,,N,376000,,01/01/2021,,Nathan Mullen,Daughter,100,,14/02/2023 10:26:20
10000800,10003010,Amber,Williams,12/06/2020,2020/11/17,P,Paid,,,Y,172000,172000,,12/31/2020,Corey Robbins,Spouse,100,1001001,14/02/2023 10:26:20
10000801,10003015,Erika,Stevenson,12/06/2020,2020/11/17,A,Adjudicated,,,N,329000,,12/11/2020,,Timothy Fernandez,Son,100,,14/02/2023 10:26:20
10000802,10003022,Steven,Kim,12/06/2020,2020/11/18,P,Paid,,,Y,294000,294000,,12/23/2020,Chase Luna,Daughter,100,1001001,14/02/2023 10:26:20
10000803,10003025,Andrew,Garcia,12/06/2020,2020/11/19,I,Inprogress,RA,Requirement Awaited,Y,200000,,,,Kevin Delacruz,Son,100,,14/02/2023 10:26:20
10000804,10003037,Tiffany,Edwards,12/06/2020,2020/11/20,P,Paid,,,Y,138000,138000,,01/04/2021,Alison Morgan,Daughter,100,1001001,14/02/2023 10:26:20
10000805,10003043,Jennifer,Smith,12/06/2020,2020/11/21,P,Paid,,,Y,50000,50000,,12/30/2020,Gail Mills,Daughter,100,1001001,14/02/2023 10:26:20
10000806,10003049,Melissa,Nguyen,12/06/2020,2020/11/21,P,Paid,,,N,485000,485000,,12/25/2020,Emily Malone,Daughter,100,1001001,14/02/2023 10:26:20
10000807,10003052,Greg,Rodriguez,12/06/2020,2020/11/22,I,Inprogress,DP,Document in Process,Y,494000,,,,Michael Downs,Spouse,100,,14/02/2023 10:26:20
10000808,10003054,David,Rodriguez,12/06/2020,2020/11/22,I,Inprogress,PL,Policy Lapsed,N,445000,,,,Raymond Valenzuela,Spouse,100,,14/02/2023 10:26:20
10000809,10003066,Janet,Rodriguez,12/06/2020,2020/11/23,R,Received,,,N,433000,,,,James Sloan,Spouse,100,,14/02/2023 10:26:20
10000810,10003073,Taylor,Jones,12/06/2020,2020/11/23,I,Inprogress,FI,Fraud Investigation In Progress,N,453000,,,,Jeremy Allison,Spouse,100,,14/02/2023 10:26:20
10000811,10003075,Virginia,Tanner,12/06/2020,2020/11/23,R,Received,,,Y,427000,,,,Brandy Taylor,Son,100,,14/02/2023 10:26:20
10000812,10003081,Jose,Alvarez,12/06/2020,2020/11/24,P,Paid,,,Y,192000,192000,,01/01/2021,Connie Stevens,Son,100,1001001,14/02/2023 10:26:20
10000813,10003083,Nicole,Mendez,12/06/2020,2020/11/24,I,Inprogress,RA,Requirement Awaited,Y,235000,,,,Douglas Hill,Spouse,100,,14/02/2023 10:26:20
10000814,10003085,Gail,Smith,12/06/2020,2020/11/24,A,Adjudicated,,,N,234000,,12/22/2020,,Kayla Gentry PhD,Daughter,100,,14/02/2023 10:26:20
10000815,10003086,Edward,Robertson,12/06/2020,2020/11/25,I,Inprogress,DP,Document in Process,Y,165000,,,,George Bautista,Daughter,100,,14/02/2023 10:26:20
10000816,10003088,Janet,Warren,12/06/2020,2020/11/25,I,Inprogress,BN,Beneficiary Not Found,N,117000,,,,Mr. Michael Garrison,Daughter,100,,14/02/2023 10:26:20
10000817,10003092,Brittney,Schroeder,12/06/2020,2020/11/25,R,Received,,,N,444000,,,,Sarah Jackson,Spouse,100,,14/02/2023 10:26:20
10000818,10003099,Kelly,Owens,12/06/2020,2020/11/25,R,Received,,,Y,384000,,,,Cassandra Gomez,Spouse,100,,14/02/2023 10:26:20
10000819,10003101,Crystal,Ruiz,12/06/2020,2020/11/26,I,Inprogress,BN,Beneficiary Not Found,Y,88000,,,,Heather Coleman,Daughter,100,,14/02/2023 10:26:20
10000820,10003102,Veronica,Mcguire,12/06/2020,2020/11/26,R,Received,,,N,482000,,,,Travis Abbott,Spouse,100,,14/02/2023 10:26:20
10000821,10003106,Nicholas,Williams,12/06/2020,2020/11/26,P,Paid,,,N,115000,115000,,12/29/2020,Robert Cook,Spouse,100,1001001,14/02/2023 10:26:20
10000822,10003114,Andrea,Jones,12/06/2020,2020/11/27,P,Paid,,,Y,277000,277000,,01/09/2021,Thomas Reed,Daughter,100,1001001,14/02/2023 10:26:20
10000823,10003115,Anthony,Harrison,12/06/2020,2020/11/27,A,Adjudicated,,,N,163000,,12/27/2020,,Martin Castillo,Daughter,100,,14/02/2023 10:26:20
10000824,10003116,Jose,Collins,12/06/2020,2020/11/27,I,Inprogress,PL,Policy Lapsed,Y,363000,,,,Laura Wilkerson,Spouse,100,,14/02/2023 10:26:20
10000825,10003120,Mary,Montes,12/06/2020,2020/11/27,P,Paid,,,N,222000,222000,,12/28/2020,Christine Ford,Son,100,1001001,14/02/2023 10:26:20
10000826,10003121,Maria,Hall,12/06/2020,2020/11/27,I,Inprogress,DP,Document in Process,Y,471000,,,,Jose Russell,Daughter,100,,14/02/2023 10:26:20
10000827,10003122,Kelli,Andrews,12/06/2020,2020/11/27,I,Inprogress,DP,Document in Process,N,426000,,,,Chad West,Spouse,100,,14/02/2023 10:26:20
10000828,10003127,Adam,Cannon,12/06/2020,2020/11/28,I,Inprogress,BN,Beneficiary Not Found,N,427000,,,,Melissa Moreno,Daughter,100,,14/02/2023 10:26:20
10000829,10003131,Cory,Cochran,12/06/2020,2020/11/28,A,Adjudicated,,,N,400000,,12/26/2020,,Andrea Thomas,Spouse,100,,14/02/2023 10:26:20
10000830,10003137,Sarah,Young,12/06/2020,2020/11/28,A,Adjudicated,,,Y,86000,,12/12/2020,,Jason Ward,Son,100,,14/02/2023 10:26:20
10000831,10003143,Jeffrey,Nelson,12/06/2020,2020/11/29,P,Paid,,,Y,236000,236000,,12/31/2020,Dylan Hubbard,Daughter,100,1001001,14/02/2023 10:26:20
10000832,10003144,David,Diaz,12/06/2020,2020/11/30,P,Paid,,,Y,110000,110000,,01/09/2021,Stephanie Thompson,Son,100,1001001,14/02/2023 10:26:20
10000833,10003148,Lisa,Tucker,12/06/2020,2020/12/01,R,Received,,,N,366000,,,,Dana Larson,Daughter,100,,14/02/2023 10:26:20
10000834,10003149,John,Green,12/06/2020,2020/12/01,P,Paid,,,N,444000,444000,,12/14/2020,Henry Smith,Spouse,100,1001001,14/02/2023 10:26:20
10000835,10003151,Vincent,Vincent,12/06/2020,2020/12/01,R,Received,,,Y,282000,,,,Carol Jones,Spouse,100,,14/02/2023 10:26:20
10000836,10003152,Justin,Jones,12/06/2020,2020/12/01,A,Adjudicated,,,Y,316000,,12/17/2020,,Yvette Brewer,Daughter,100,,14/02/2023 10:26:20
10000837,10003156,Timothy,Murray,12/06/2020,2020/12/02,P,Paid,,,N,258000,258000,,12/22/2020,Yvonne Nguyen,Son,100,1001001,14/02/2023 10:26:20
10000838,10003157,Travis,Gamble,12/06/2020,2020/12/02,R,Received,,,N,312000,,,,Karen Prince,Son,100,,14/02/2023 10:26:20
10000839,10003160,Dominique,Bowen,12/06/2020,2020/12/02,R,Received,,,Y,55000,,,,Jason Johnson,Daughter,100,,14/02/2023 10:26:20
10000840,10003164,Joseph,Ellis,12/06/2020,2020/12/02,I,Inprogress,PL,Policy Lapsed,Y,297000,,,,Julia Miller,Spouse,100,,14/02/2023 10:26:20
10000841,10003166,Sandra,Maddox,12/06/2020,2020/12/03,P,Paid,,,Y,223000,223000,,12/31/2020,Jillian Ward,Spouse,100,1001001,14/02/2023 10:26:20
10000842,10003189,Robert,Mccormick,12/06/2020,2020/12/05,A,Adjudicated,,,Y,499000,,12/12/2020,,Jessica Chan,Spouse,100,,14/02/2023 10:26:20
10000843,10003197,Mary,Cunningham,12/06/2020,2020/12/06,A,Adjudicated,,,Y,263000,,01/04/2021,,Joshua Pratt,Spouse,100,,14/02/2023 10:26:20
10000844,10002641,Melinda,Miller,12/06/2020,2020/10/06,I,Inprogress,BN,Beneficiary Not Found,N,311000,,,,Melissa Wiley,Son,100,,14/02/2023 10:26:20
10000845,10002646,Michael,Shea,12/06/2020,2020/10/06,I,Inprogress,DP,Document in Process,N,251000,,,,Michael Edwards,Son,100,,14/02/2023 10:26:20
10000846,10002662,Erin,Bates,12/06/2020,2020/10/09,R,Received,,,Y,486000,,,,Carl Ray,Son,100,,14/02/2023 10:26:20
10000847,10002752,Andrew,Johnston,12/06/2020,2020/10/19,R,Received,,,N,350000,,,,Barry Flores,Spouse,100,,14/02/2023 10:26:20
10000848,10002777,Lauren,Fernandez,12/06/2020,2020/10/24,I,Inprogress,FI,Fraud Investigation In Progress,N,374000,,,,Lauren Bryant,Daughter,100,,14/02/2023 10:26:20
10000849,10002778,James,Blair,12/06/2020,2020/10/24,R,Received,,,N,487000,,,,Kyle Johnson,Son,100,,14/02/2023 10:26:20
10000850,10002795,Jacob,Garrett,12/06/2020,2020/10/26,P,Paid,,,Y,155000,155000,,01/03/2021,Timothy Brooks,Spouse,100,1001001,14/02/2023 10:26:20
10000851,10002816,Karen,Mcguire,12/06/2020,2020/10/28,R,Received,,,Y,497000,,,,Holly Williams,Daughter,100,,14/02/2023 10:26:20
10000852,10002428,Laurie,Riley,12/06/2020,2020/09/13,I,Inprogress,PL,Policy Lapsed,Y,350000,,,,Erica Hernandez,Son,100,,14/02/2023 10:26:20
10000853,10002443,Felicia,Howell,12/06/2020,2020/09/14,R,Received,,,N,200000,,,,Gwendolyn Potter,Spouse,100,,14/02/2023 10:26:20
10000854,10002519,Jessica,Pennington,12/06/2020,2020/09/27,P,Paid,,,N,222000,222000,,01/06/2021,Richard Lyons,Son,100,1001001,14/02/2023 10:26:20
10000855,10002582,Natalie,Perkins,12/06/2020,2020/10/04,P,Paid,,,N,316000,316000,,12/28/2020,Mary Flores,Son,100,1001001,14/02/2023 10:26:20
10000856,10002070,Jessica,Williams,12/06/2020,2020/08/04,I,Inprogress,DP,Document in Process,Y,471000,,,,Richard Gould,Daughter,100,,14/02/2023 10:26:20
10000857,10002083,Brian,Jacobs,12/06/2020,2020/08/05,A,Adjudicated,,,Y,488000,,12/11/2020,,Shane Stevenson,Spouse,100,,14/02/2023 10:26:20
10000858,10002185,Raymond,Boyd,12/06/2020,2020/08/21,A,Adjudicated,,,Y,275000,,12/29/2020,,Daniel Brown,Spouse,100,,14/02/2023 10:26:20
10000859,10002231,Brenda,Spencer,12/06/2020,2020/08/27,P,Paid,,,Y,214000,214000,,12/28/2020,Terry Morales,Son,100,1001001,14/02/2023 10:26:20
10000860,10002321,Andrew,Phillips,12/06/2020,2020/09/05,I,Inprogress,RA,Requirement Awaited,N,459000,,,,Gregory Potter,Spouse,100,,14/02/2023 10:26:20
10000861,10003204,William,Harris,01/03/2021,2020/11/30,A,Adjudicated,,,N,428000,,01/28/2021,,Deborah Hogan,Son,100,,14/02/2023 10:26:20
10000862,10003210,Hannah,Harvey,01/03/2021,2020/11/30,P,Paid,,,N,481000,481000,,01/12/2021,Antonio Stevens,Daughter,100,1001001,14/02/2023 10:26:20
10000863,10003211,Brian,Mclaughlin,01/03/2021,2020/11/30,P,Paid,,,Y,431000,431000,,01/29/2021,Aaron Smith,Daughter,100,1001001,14/02/2023 10:26:20
10000864,10003225,Noah,Allen,01/03/2021,2020/12/01,P,Paid,,,Y,228000,228000,,02/02/2021,Katherine Blackwell,Daughter,100,1001001,14/02/2023 10:26:20
10000865,10003230,Maurice,Gomez,01/03/2021,2020/12/02,R,Received,,,N,230000,,,,Daniel Lopez,Spouse,100,,14/02/2023 10:26:20
10000866,10003231,Shannon,Porter,01/03/2021,2020/12/02,I,Inprogress,DP,Document in Process,Y,369000,,,,Daniel Cardenas,Spouse,100,,14/02/2023 10:26:20
10000867,10003238,Devon,Murray,01/03/2021,2020/12/02,I,Inprogress,DP,Document in Process,N,368000,,,,Edward Berg,Daughter,100,,14/02/2023 10:26:20
10000868,10003239,Brian,Rhodes,01/03/2021,2020/12/02,I,Inprogress,DP,Document in Process,Y,240000,,,,John Alvarado,Daughter,100,,14/02/2023 10:26:20
10000869,10003247,Michael,Jackson,01/03/2021,2020/12/05,P,Paid,,,Y,266000,266000,,01/26/2021,Erin Tran MD,Spouse,100,1001001,14/02/2023 10:26:20
10000870,10003251,Omar,Cochran,01/03/2021,2020/12/05,R,Received,,,Y,169000,,,,Gloria Moore,Spouse,100,,14/02/2023 10:26:20
10000871,10003257,Stephanie,Scott,01/03/2021,2020/12/06,R,Received,,,Y,353000,,,,Andrew Ross,Son,100,,14/02/2023 10:26:20
10000872,10003261,James,Anderson,01/03/2021,2020/12/06,P,Paid,,,N,375000,375000,,01/17/2021,Eric King,Spouse,100,1001001,14/02/2023 10:26:20
10000873,10003266,Brian,Watson,01/03/2021,2020/12/06,R,Received,,,N,97000,,,,Christopher Perez,Spouse,100,,14/02/2023 10:26:20
10000874,10003267,Susan,Padilla,01/03/2021,2020/12/06,A,Adjudicated,,,N,166000,,01/09/2021,,Matthew Anderson,Daughter,100,,14/02/2023 10:26:20
10000875,10003270,Kenneth,Taylor,01/03/2021,2020/12/07,A,Adjudicated,,,Y,370000,,01/26/2021,,Larry Wilson,Son,100,,14/02/2023 10:26:20
10000876,10003276,Wanda,Black,01/03/2021,2020/12/08,R,Received,,,N,311000,,,,Angela Adams,Son,100,,14/02/2023 10:26:20
10000877,10003297,James,Johns,01/03/2021,2020/12/12,P,Paid,,,N,96000,96000,,01/27/2021,Michelle Henderson,Spouse,100,1001001,14/02/2023 10:26:20
10000878,10003301,Phillip,Graves,01/03/2021,2020/12/12,P,Paid,,,Y,165000,165000,,01/15/2021,Rebecca Robinson,Son,100,1001001,14/02/2023 10:26:20
10000879,10003307,Jennifer,Foster,01/03/2021,2020/12/12,A,Adjudicated,,,N,262000,,01/12/2021,,Donna Russell,Son,100,,14/02/2023 10:26:20
10000880,10003309,Mary,Johnson,01/03/2021,2020/12/13,R,Received,,,Y,218000,,,,Holly Cortez,Spouse,100,,14/02/2023 10:26:20
10000881,10003319,Jamie,Saunders,01/03/2021,2020/12/16,R,Received,,,N,158000,,,,Jocelyn Brady,Daughter,100,,14/02/2023 10:26:20
10000882,10003321,Jennifer,Green,01/03/2021,2020/12/16,P,Paid,,,N,423000,423000,,02/03/2021,Beth Rodriguez,Son,100,1001001,14/02/2023 10:26:20
10000883,10003323,Justin,Kim,01/03/2021,2020/12/17,I,Inprogress,FI,Fraud Investigation In Progress,N,344000,,,,Stacey Foster,Daughter,100,,14/02/2023 10:26:20
10000884,10003326,Brian,Bailey,01/03/2021,2020/12/17,I,Inprogress,RA,Requirement Awaited,N,431000,,,,Emily Kim,Daughter,100,,14/02/2023 10:26:20
10000885,10003329,Lisa,Torres,01/03/2021,2020/12/17,P,Paid,,,N,170000,170000,,02/01/2021,Sheryl Phillips,Daughter,100,1001001,14/02/2023 10:26:20
10000886,10003333,Manuel,Ward,01/03/2021,2020/12/17,I,Inprogress,DP,Document in Process,Y,375000,,,,Michael Jones,Spouse,100,,14/02/2023 10:26:20
10000887,10003337,Andrew,Garcia,01/03/2021,2020/12/18,P,Paid,,,Y,176000,176000,,01/24/2021,Traci Roberts,Son,100,1001001,14/02/2023 10:26:20
10000888,10003338,Alicia,Johnston,01/03/2021,2020/12/18,P,Paid,,,N,434000,434000,,02/03/2021,Peter Neal,Son,100,1001001,14/02/2023 10:26:20
10000889,10003340,Caleb,Hooper,01/03/2021,2020/12/18,R,Received,,,Y,479000,,,,Jessica Benson,Son,100,,14/02/2023 10:26:20
10000890,10003371,Cheryl,Sweeney,01/03/2021,2020/12/22,P,Paid,,,Y,205000,205000,,02/06/2021,Patrick Reid,Son,100,1001001,14/02/2023 10:26:20
10000891,10003375,Stacey,Sandoval,01/03/2021,2020/12/22,P,Paid,,,N,350000,350000,,01/22/2021,Sarah Obrien,Daughter,100,1001001,14/02/2023 10:26:20
10000892,10003377,Suzanne,Brown,01/03/2021,2020/12/22,P,Paid,,,N,365000,365000,,01/14/2021,Brandon Scott,Son,100,1001001,14/02/2023 10:26:20
10000893,10003379,Charles,Lee,01/03/2021,2020/12/22,A,Adjudicated,,,Y,396000,,02/01/2021,,Bruce Rodriguez,Daughter,100,,14/02/2023 10:26:20
10000894,10003380,Lucas,Walker,01/03/2021,2020/12/22,I,Inprogress,PL,Policy Lapsed,N,476000,,,,Jasmine Blackwell,Spouse,100,,14/02/2023 10:26:20
10000895,10003391,Jacqueline,Smith,01/03/2021,2020/12/24,I,Inprogress,RA,Requirement Awaited,N,214000,,,,Monica Newton,Spouse,100,,14/02/2023 10:26:20
10000896,10003398,Matthew,Johnson,01/03/2021,2020/12/24,R,Received,,,N,481000,,,,Larry Keller,Daughter,100,,14/02/2023 10:26:20
10000897,10003401,James,Thompson,01/03/2021,2020/12/24,I,Inprogress,PL,Policy Lapsed,N,124000,,,,Clayton Allen,Spouse,100,,14/02/2023 10:26:20
10000898,10003402,Maria,Bryan,01/03/2021,2020/12/25,I,Inprogress,PL,Policy Lapsed,N,141000,,,,Christopher Rose,Daughter,100,,14/02/2023 10:26:20
10000899,10003407,Summer,Briggs,01/03/2021,2020/12/27,I,Inprogress,RA,Requirement Awaited,Y,281000,,,,Pamela Smith,Daughter,100,,14/02/2023 10:26:20
10000900,10003413,Kristen,Burns,01/03/2021,2020/12/28,P,Paid,,,N,51000,51000,,01/27/2021,Angela Robinson,Son,100,1001001,14/02/2023 10:26:20
10000901,10003416,Amanda,Baxter,01/03/2021,2020/12/28,A,Adjudicated,,,Y,115000,,01/12/2021,,Beth Stewart,Daughter,100,,14/02/2023 10:26:20
10000902,10003418,Maureen,Norton,01/03/2021,2020/12/29,A,Adjudicated,,,N,407000,,01/29/2021,,Timothy Welch,Spouse,100,,14/02/2023 10:26:20
10000903,10003429,James,Lucas,01/03/2021,2020/12/29,P,Paid,,,N,441000,441000,,02/03/2021,Jonathan Morgan,Son,100,1001001,14/02/2023 10:26:20
10000904,10003430,Douglas,Silva,01/03/2021,2020/12/29,A,Adjudicated,,,Y,242000,,01/11/2021,,Ashley Neal,Son,100,,14/02/2023 10:26:20
10000905,10003432,Sheila,Foster,01/03/2021,2020/12/30,I,Inprogress,FI,Fraud Investigation In Progress,N,424000,,,,Bryan Frederick,Spouse,100,,14/02/2023 10:26:20
10000906,10003442,Leslie,Payne,01/03/2021,2021/01/01,I,Inprogress,FI,Fraud Investigation In Progress,Y,257000,,,,Amber Stout,Spouse,100,,14/02/2023 10:26:20
10000907,10003449,Jeremy,Thomas,01/03/2021,2021/01/02,P,Paid,,,N,123000,123000,,01/13/2021,Nicholas Powell,Spouse,100,1001001,14/02/2023 10:26:20
10000908,10003452,Adam,Kelley,01/03/2021,2021/01/02,A,Adjudicated,,,N,260000,,01/24/2021,,Jenny Saunders,Spouse,100,,14/02/2023 10:26:20
10000909,10003459,Tonya,Austin,01/03/2021,2021/01/03,I,Inprogress,PL,Policy Lapsed,N,488000,,,,Gabriela Middleton,Son,100,,14/02/2023 10:26:20
10000910,10003460,Amy,Turner,01/03/2021,2021/01/03,I,Inprogress,RA,Requirement Awaited,Y,101000,,,,Eileen Riley,Son,100,,14/02/2023 10:26:20
10000911,10003468,Mark,Maddox,01/03/2021,2021/01/03,P,Paid,,,N,50000,50000,,01/30/2021,William Ramirez,Daughter,100,1001001,14/02/2023 10:26:20
10000912,10002894,Amber,Moreno,01/03/2021,2020/10/30,A,Adjudicated,,,Y,444000,,01/10/2021,,Mary Lewis,Son,100,,14/02/2023 10:26:20
10000913,10002925,Holly,Mccarthy,01/03/2021,2020/11/05,A,Adjudicated,,,N,66000,,01/08/2021,,Amanda Sims,Daughter,100,,14/02/2023 10:26:20
10000914,10002941,Kendra,Ross,01/03/2021,2020/11/06,A,Adjudicated,,,Y,408000,,01/30/2021,,Christy Smith,Son,100,,14/02/2023 10:26:20
10000915,10002974,Jessica,Hill,01/03/2021,2020/11/13,I,Inprogress,FI,Fraud Investigation In Progress,N,474000,,,,Pamela Steele,Son,100,,14/02/2023 10:26:20
10000916,10003067,Daniel,Miller,01/03/2021,2020/11/23,R,Received,,,Y,114000,,,,Julie Smith,Son,100,,14/02/2023 10:26:20
10000917,10003113,Heidi,Scott,01/03/2021,2020/11/27,I,Inprogress,FI,Fraud Investigation In Progress,N,454000,,,,Scott Austin,Spouse,100,,14/02/2023 10:26:20
10000918,10003185,Jessica,Martin,01/03/2021,2020/12/05,I,Inprogress,BN,Beneficiary Not Found,Y,332000,,,,Beth Leblanc,Son,100,,14/02/2023 10:26:20
10000919,10003188,Brenda,Frazier,01/03/2021,2020/12/05,I,Inprogress,FI,Fraud Investigation In Progress,N,152000,,,,Joseph Hall,Daughter,100,,14/02/2023 10:26:20
10000920,10002592,Christopher,Pace,01/03/2021,2020/09/29,R,Received,,,Y,421000,,,,Jacob Foley,Daughter,100,,14/02/2023 10:26:20
10000921,10002643,David,Mccall,01/03/2021,2020/10/06,I,Inprogress,FI,Fraud Investigation In Progress,N,103000,,,,Stephen Willis,Spouse,100,,14/02/2023 10:26:20
